ds,y,medicine
2025-07-24,11,betadine
2025-07-24,9,lidocaine
2025-07-24,11,hydrogen peroxide
2025-07-23,10,betadine
2025-07-23,7,lidocaine
2025-07-23,12,hydrogen peroxide
2025-07-22,11,betadine
2025-07-22,8,lidocaine
2025-07-22,12,hydrogen peroxide
2025-07-21,11,betadine
2025-07-21,9,lidocaine
2025-07-21,10,hydrogen peroxide
2025-07-20,12,betadine
2025-07-20,10,lidocaine
2025-07-20,8,hydrogen peroxide
2025-07-19,11,betadine
2025-07-19,12,lidocaine
2025-07-19,10,hydrogen peroxide
2025-07-18,11,betadine
2025-07-18,12,lidocaine
2025-07-18,11,hydrogen peroxide
2025-07-17,9,betadine
2025-07-17,11,lidocaine
2025-07-17,10,hydrogen peroxide
2025-07-16,7,betadine
2025-07-16,11,lidocaine
2025-07-16,12,hydrogen peroxide
2025-07-15,9,betadine
2025-07-15,10,lidocaine
2025-07-15,11,hydrogen peroxide
2025-07-14,9,betadine
2025-07-14,12,lidocaine
2025-07-14,8,hydrogen peroxide
2025-07-13,8,betadine
2025-07-13,8,lidocaine
2025-07-13,7,hydrogen peroxide
2025-07-12,12,betadine
2025-07-12,9,lidocaine
2025-07-12,9,hydrogen peroxide
2025-07-11,8,betadine
2025-07-11,8,lidocaine
2025-07-11,9,hydrogen peroxide
2025-07-10,9,betadine
2025-07-10,12,lidocaine
2025-07-10,9,hydrogen peroxide
2025-07-09,12,betadine
2025-07-09,9,lidocaine
2025-07-09,9,hydrogen peroxide
2025-07-08,9,betadine
2025-07-08,7,lidocaine
2025-07-08,8,hydrogen peroxide
2025-07-07,12,betadine
2025-07-07,10,lidocaine
2025-07-07,10,hydrogen peroxide
2025-07-06,10,betadine
2025-07-06,9,lidocaine
2025-07-06,8,hydrogen peroxide
2025-07-05,12,betadine
2025-07-05,12,lidocaine
2025-07-05,12,hydrogen peroxide
2025-07-04,11,betadine
2025-07-04,11,lidocaine
2025-07-04,7,hydrogen peroxide
2025-07-03,9,betadine
2025-07-03,12,lidocaine
2025-07-03,9,hydrogen peroxide
2025-07-02,7,betadine
2025-07-02,11,lidocaine
2025-07-02,10,hydrogen peroxide
2025-07-01,7,betadine
2025-07-01,8,lidocaine
2025-07-01,9,hydrogen peroxide
2025-06-30,8,betadine
2025-06-30,9,lidocaine
2025-06-30,8,hydrogen peroxide
2025-06-29,10,betadine
2025-06-29,12,lidocaine
2025-06-29,11,hydrogen peroxide
2025-06-28,12,betadine
2025-06-28,8,lidocaine
2025-06-28,9,hydrogen peroxide
2025-06-27,8,betadine
2025-06-27,10,lidocaine
2025-06-27,12,hydrogen peroxide
2025-06-26,12,betadine
2025-06-26,10,lidocaine
2025-06-26,11,hydrogen peroxide
2025-06-25,7,betadine
2025-06-25,11,lidocaine
2025-06-25,12,hydrogen peroxide
